;;"FAST BUDGET"

"Id";"Value";"Currency";"Category";"Account";"Date";"From/To";"Notes";"Value (EUR)"
"1016";"2558.32";"EUR";"Lohn";"DKB VISA Debit";"10/28/23";"";"";"2558.32"
"1017";"-35.0";"EUR";"Bar Alkohol";"DKB VISA Debit";"10/28/23";"";"";"-35.0"
"1018";"-30.0";"EUR";"Bar Alkohol";"DKB VISA Debit";"10/27/23";"";"Essen";"-30.0"
"1019";"-7.33";"EUR";"Lebensmittel";"DKB VISA Debit";"10/27/23";"";"";"-7.33"
"1020";"-11.3";"EUR";"Lebensmittel";"DKB VISA Debit";"10/26/23";"";"";"-11.3"
"1021";"-41.69";"EUR";"Wohnung";"DKB VISA Debit";"10/25/23";"";"Gelbtafeln, Rollen und Putzstein";"-41.69"
"1022";"-64.0";"EUR";"Strom";"DKB VISA Debit";"10/25/23";"";"";"-64.0"
"1023";"-13.96";"EUR";"Wohnung";"DKB VISA Debit";"10/23/23";"";"Schaltstift + Abroller";"-13.96"
"1023";"-8.0";"EUR";"Geschenke";"DKB VISA Debit";"10/23/23";"";"Schaltstift + Abroller";"-8.0"
"1024";"-8.42";"EUR";"Lebensmittel";"PayPal";"10/23/23";"";"Eis";"-8.42"
"1025";"-52.8";"EUR";"Ausflug";"Barclays VISA";"10/21/23";"";"Within Temptation";"-52.8"
"1026";"-12.0";"EUR";"Lebensmittel";"Geldbörse";"10/21/23";"";"Bäcker";"-12.0"
"1026";"-4.8";"EUR";"Ausgleich";"Geldbörse";"10/21/23";"";"Bäcker";"-4.8"
"1027";"11.99";"EUR";"sonstige Einnahmen";"DKB VISA Debit";"10/21/23";"";"Drillisch warum ?";"11.99"
"1028";"-70.49";"EUR";"Lebensmittel";"PayPal";"10/20/23";"";"";"-70.49"
"1029";"67.0";"EUR";"Erstattung";"DKB VISA Debit";"10/18/23";"";"Parken und tanken bitzer";"67.0"
"1030";"-25.0";"EUR";"Restaurant";"Geldbörse";"10/18/23";"";"Grieche";"-25.0"
"1031";"-4.6";"EUR";"Lebensmittel";"Geldbörse";"10/18/23";"";"Bahnhof";"-4.6"
"1032";"-11.46";"EUR";"Lebensmittel";"DKB VISA Debit";"10/16/23";"";"";"-11.46"
"1033";"-20.0";"EUR";"Technik";"Geldbörse";"10/16/23";"";"Ladekabel uabc";"-20.0"
"1034";"-5.13";"EUR";"Lebensmittel";"DKB VISA Debit";"10/16/23";"";"";"-5.13"
"1035";"-3000.0";"EUR";"sonstige Ausgaben";"Sparkonto DKB";"10/14/23";"";"Schulden Rückzahlung";"-3000.0"
"1036";"-15.19";"EUR";"Lebensmittel";"PayPal";"10/12/23";"";"";"-15.19"
"1037";"-11.99";"EUR";"Handyvertrag";"DKB VISA Debit";"10/10/23";"";"";"-11.99"
"1038";"-64.59";"EUR";"Kleidung";"DKB VISA Debit";"10/10/23";"";"Uhrband, snocks lang, Gans, lego, mgt";"-64.59"
"1038";"-108.89";"EUR";"Geschenke";"DKB VISA Debit";"10/10/23";"";"Uhrband, snocks lang, Gans, lego, mgt";"-108.89"
"1039";"-19.88";"EUR";"Lebensmittel";"PayPal";"10/9/23";"";"";"-19.88"
"1040";"-72.59";"EUR";"Tanken";"Barclays VISA";"10/7/23";"";"";"-72.59"
"1041";"80.0";"EUR";"Baumarkt";"PayPal";"10/6/23";;"NF Fahrt und Baumarktzeug";"80.0"
"1042";"-21.25";"EUR";"Lebensmittel";"PayPal";"10/6/23";"";"";"-21.25"
"1043";"-39.4";"EUR";"Ausflug";"Geldbörse";"10/6/23";"";"Bier und Garderobe NF";"-39.4"
"1044";"-59.54";"EUR";"Baumarkt";"PayPal";"10/5/23";"";"Abzieher und Putztücher";"-59.54"
"1045";"-15.99";"EUR";"Sport";"DKB VISA Debit";"10/5/23";"";"Flickzeug und Schlauch";"-15.99"
"1046";"-301.5";"EUR";"Vanguard all world";"DKB VISA Debit";"10/5/23";"";"";"-301.5"
"1047";"-10.93";"EUR";"Lebensmittel";"PayPal";"10/4/23";"";"";"-10.93"
"1048";"-80.16";"EUR";"Tanken";"DKB VISA Debit";"10/4/23";"";"";"-80.16"
"1049";"-7.6";"EUR";"Lebensmittel";"PayPal";"10/3/23";"";"";"-7.6"
"1050";"-132.1";"EUR";"Miete";"DKB VISA Debit";"10/3/23";"";"";"-132.1"
"1051";"68.21";"EUR";"Zinsen";"Sparkonto DKB";"10/2/23";"";"";"68.21"
"1052";"-83.45";"EUR";"Baumarkt";"DKB VISA Debit";"10/2/23";"";"Hängeregal, Pflanze Hermani, Luise";"-83.45"
"1053";"-13.35";"EUR";"Bar Alkohol";"PayPal";"10/1/23";"";"";"-13.35"
"1054";"-50.0";"EUR";"sonstige Ausgaben";"Geldbörse";"9/29/23";"";"Weihnachtsfeier und Eike";"-50.0"
"1055";"-82.38";"EUR";"Wohnung";"DKB VISA Debit";"9/29/23";"";"Teppich";"-82.38"
"1056";"-47.0";"EUR";"sonstige Ausgaben";"DKB VISA Debit";"9/28/23";"";"Tanken ausgelegt";"-47.0"
"1057";"-36.71";"EUR";"Internet";"DKB VISA Debit";"9/28/23";"";"";"-36.71"
"1058";"-78.98";"EUR";"Technik";"DKB VISA Debit";"9/28/23";"";"Epoxid füller + ssd + Ibuprofen";"-78.98"
"1058";"-5.9";"EUR";"Verbrauchsartikel";"DKB VISA Debit";"9/28/23";"";"Epoxid füller + ssd + Ibuprofen";"-5.9"
"1058";"-18.8";"EUR";"Baumarkt";"DKB VISA Debit";"9/28/23";"";"Epoxid füller + ssd + Ibuprofen";"-18.8"
"1059";"-26.39";"EUR";"PC";"PayPal";"9/28/23";"";"Tiny tina";"-26.39"
"1060";"2558.32";"EUR";"Lohn";"DKB VISA Debit";"9/28/23";"";"";"2558.32"
"1061";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"9/28/23";;;"-4.49"
"1062";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"9/28/23";;"Spotify";"-2.5"
"1063";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/28/23";"Sparkonto DKB";"";"-500.0"
"1064";"500.0";"EUR";"Transfer between accounts";"Sparkonto DKB";"9/28/23";"DKB VISA Debit";"";"500.0"
"1065";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/27/23";"Barclays VISA";"";"-500.0"
"1066";"500.0";"EUR";"Transfer between accounts";"Barclays VISA";"9/27/23";"DKB VISA Debit";"";"500.0"
"1067";"-200.0";"EUR";"Transfer between accounts";"Barclays VISA";"9/27/23";"Geldbörse";"";"-200.0"
"1068";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"9/27/23";"Barclays VISA";"";"200.0"
"1069";"-14.19";"EUR";"Lebensmittel";"DKB VISA Debit";"9/27/23";"";"";"-14.19"
"1070";"-50.0";"EUR";"Essen Arbeit";"Geldbörse";"9/27/23";"";"";"-50.0"
"1071";"-23.7";"EUR";"Baumarkt";"DKB VISA Debit";"9/26/23";"";"Epoxy filler";"-23.7"
"1072";"-16.86";"EUR";"Lebensmittel";"DKB VISA Debit";"9/26/23";"";"";"-16.86"
"1073";"-9.99";"EUR";"Technik";"DKB VISA Debit";"9/26/23";"";"USB stick";"-9.99"
"1074";"-64.0";"EUR";"Strom";"DKB VISA Debit";"9/25/23";"";"";"-64.0"
"1075";"-4.0";"EUR";"Lebensmittel";"Geldbörse";"9/24/23";"";"";"-4.0"
"1076";"-3.6";"EUR";"Lebensmittel";"Geldbörse";"9/23/23";"";"Bäcker";"-3.6"
"1077";"-20.0";"EUR";"sonstige Ausgaben";"Geldbörse";"9/23/23";"";"Parken";"-20.0"
"1078";"-10.0";"EUR";"Ausflug";"Geldbörse";"9/23/23";"";"Essen mudrun";"-10.0"
"1079";"-20.0";"EUR";"Verbrauchsartikel";"DKB VISA Debit";"9/19/23";"";"Epoxy Becher und Paddle, exfoliating und leukoplast";"-20.0"
"1079";"-24.44";"EUR";"Baumarkt";"DKB VISA Debit";"9/19/23";"";"Epoxy Becher und Paddle, exfoliating und leukoplast";"-24.44"
"1080";"-55.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/18/23";"PayPal";"Baumarkt ";"-55.0"
"1081";"55.0";"EUR";"Transfer between accounts";"PayPal";"9/18/23";"DKB VISA Debit";"Baumarkt ";"55.0"
"1082";"-39.7";"EUR";"Lebensmittel";"DKB VISA Debit";"9/18/23";"";"";"-39.7"
"1083";"-43.35";"EUR";"Baumarkt";"DKB VISA Debit";"9/15/23";"";"";"-43.35"
"1084";"-42.76";"EUR";"sonstige Ausgaben";"Geldbörse";"9/14/23";"";"Hautarzt";"-42.76"
"1085";"-14.12";"EUR";"Lebensmittel";"Geldbörse";"9/14/23";"";"";"-14.12"
"1086";"-12.86";"EUR";"Lebensmittel";"PayPal";"9/12/23";"";"";"-12.86"
"1087";"-4.52";"EUR";"Technik";"DKB VISA Debit";"9/11/23";"";"Compression socks + nagelcreme + USB kabel";"-4.52"
"1087";"-20.0";"EUR";"Kleidung";"DKB VISA Debit";"9/11/23";"";"Compression socks + nagelcreme + USB kabel";"-20.0"
"1087";"-16.0";"EUR";"Verbrauchsartikel";"DKB VISA Debit";"9/11/23";"";"Compression socks + nagelcreme + USB kabel";"-16.0"
"1088";"-80.28";"EUR";"Tanken";"DKB VISA Debit";"9/11/23";"";"";"-80.28"
"1089";"76.22";"EUR";"Erstattung";"PayPal";"9/10/23";"";"Geschenk + Einkauf";"76.22"
"1090";"-10.0";"EUR";"Bar Alkohol";"Geldbörse";"9/10/23";"";"";"-10.0"
"1091";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/9/23";"Geldbörse";"";"-200.0"
"1092";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"9/9/23";"DKB VISA Debit";"";"200.0"
"1093";"-20.0";"EUR";"Restaurant";"Geldbörse";"9/9/23";"";"";"-20.0"
"1094";"-125.55";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/9/23";"PayPal";"";"-125.55"
"1095";"125.55";"EUR";"Transfer between accounts";"PayPal";"9/9/23";"DKB VISA Debit";"";"125.55"
"1096";"66.22";"EUR";"Erstattung";"PayPal";"9/8/23";"";"Von Christoph";"66.22"
"1097";"40.0";"EUR";"Erstattung";"PayPal";"9/8/23";"";"";"40.0"
"1098";"-4.08";"EUR";"Ausgleich";"DKB VISA Debit";"9/8/23";"";"";"-4.08"
"1099";"66.22";"EUR";"Erstattung";"PayPal";"9/8/23";"";"Luise Kirsten Geschenk";"66.22"
"1100";"-3.8";"EUR";"Handyvertrag";"DKB VISA Debit";"9/8/23";"";"";"-3.8"
"1101";"-50.0";"EUR";"Essen Arbeit";"Geldbörse";"9/8/23";"";"";"-50.0"
"1102";"-10.0";"EUR";"Geschenke";"Geldbörse";"9/7/23";"";"Hendrik";"-10.0"
"1103";"-5.0";"EUR";"Essen Arbeit";"Geldbörse";"9/7/23";"";"";"-5.0"
"1104";"-15.12";"EUR";"Lebensmittel";"PayPal";"9/6/23";"";"";"-15.12"
"1105";"-44.5";"EUR";"Wohnung";"DKB VISA Debit";"9/5/23";"";"Led streifen Küche";"-44.5"
"1106";"-301.5";"EUR";"Vanguard all world";"DKB VISA Debit";"9/5/23";"";"";"-301.5"
"1107";"-119.99";"EUR";"Technik";"DKB VISA Debit";"9/4/23";"";"Headset hs80";"-119.99"
"1108";"-189.99";"EUR";"Geschenke";"DKB VISA Debit";"9/4/23";"";"Kindle";"-189.99"
"1109";"-131.24";"EUR";"Technik";"DKB VISA Debit";"9/4/23";"";"Bildschirm";"-131.24"
"1110";"-74.95";"EUR";"Geschenke";"DKB VISA Debit";"9/4/23";"";"Fahrradtasche";"-74.95"
"1111";"-7.29";"EUR";"Wohnung";"DKB VISA Debit";"9/4/23";"";"Erde";"-7.29"
"1112";"-40.99";"EUR";"Verbrauchsartikel";"DKB VISA Debit";"9/4/23";"";"Rasierklingen";"-40.99"
"1113";"-132.1";"EUR";"Miete";"DKB VISA Debit";"9/3/23";"";"";"-132.1"
"1114";"-31.3";"EUR";"Lebensmittel";"DKB VISA Debit";"9/2/23";"";"";"-31.3"
"1115";"-10.38";"EUR";"Lebensmittel";"PayPal";"9/2/23";"";"";"-10.38"
"1116";"-30.0";"EUR";"Ausflug";"Geldbörse";"9/2/23";"";"Transport harnekop";"-30.0"
"1117";"-7.5";"EUR";"Lebensmittel";"DKB VISA Debit";"9/2/23";"";"";"-7.5"
"1118";"-101.36";"EUR";"sonstige Ausgaben";"DKB VISA Debit";"8/31/23";"";"Zahnarzt";"-101.36"
"1119";"-11.95";"EUR";"Lebensmittel";"PayPal";"8/31/23";"";"";"-11.95"
"1120";"-190.0";"EUR";"Sport";"DKB VISA Debit";"8/30/23";"";"New Balance Fresh Foam 1080 v12";"-190.0"
"1121";"-36.71";"EUR";"Internet";"DKB VISA Debit";"8/30/23";"";"";"-36.71"
"1122";"-19.49";"EUR";"Ausgleich";"Geldbörse";"8/29/23";"";"";"-19.49"
"1123";"-88.96";"EUR";"sonstige Ausgaben";"Geldbörse";"8/29/23";"";"Zahnarzt";"-88.96"
"1124";"-12.96";"EUR";"Lebensmittel";"DKB VISA Debit";"8/29/23";"";"";"-12.96"
"1125";"-9.0";"EUR";"Lebensmittel";"Geldbörse";"8/29/23";"";"";"-9.0"
"1126";"-418.18";"EUR";"Ausflug";"DKB VISA Debit";"8/29/23";"";"Alpenexpedition";"-418.18"
"1127";"-0.39";"EUR";"Ausgleich";"DKB VISA Debit";"8/28/23";"";"";"-0.39"
"1128";"2558.32";"EUR";"Lohn";"DKB VISA Debit";"8/28/23";"";"";"2558.32"
"1129";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"8/28/23";;;"-4.49"
"1130";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"8/28/23";;"Spotify";"-2.5"
"1131";"-37.89";"EUR";"Kleidung";"DKB VISA Debit";"8/27/23";"";"Gürtel";"-37.89"
"1132";"-39.99";"EUR";"Technik";"DKB VISA Debit";"8/26/23";"";"Run Shirt + Kindle hülle";"-39.99"
"1132";"-22.98";"EUR";"Kleidung";"DKB VISA Debit";"8/26/23";"";"Run Shirt + Kindle hülle";"-22.98"
"1133";"-35.92";"EUR";"Lebensmittel";"PayPal";"8/25/23";"";"";"-35.92"
"1134";"-64.0";"EUR";"Strom";"DKB VISA Debit";"8/25/23";"";"";"-64.0"
"1135";"-61.05";"EUR";"Tanken";"DKB VISA Debit";"8/25/23";"";"";"-61.05"
"1136";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"8/25/23";"Sparkonto DKB";"";"-500.0"
"1137";"500.0";"EUR";"Transfer between accounts";"Sparkonto DKB";"8/25/23";"DKB VISA Debit";"";"500.0"
"1138";"-410.32";"EUR";"Strom";"DKB VISA Debit";"8/24/23";"";"";"-410.32"
"1139";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"8/21/23";"Geldbörse";"";"-200.0"
"1140";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"8/21/23";"DKB VISA Debit";"";"200.0"
"1141";"-3.0";"EUR";"Ausflug";"Geldbörse";"8/19/23";"";"";"-3.0"
"1142";"-189.0";"EUR";"Ausflug";"Geldbörse";"8/19/23";"";"";"-189.0"
"1143";"-18.0";"EUR";"Ausflug";"Geldbörse";"8/18/23";"";"Cafe";"-18.0"
"1144";"-210.0";"EUR";"Ausflug";"Geldbörse";"8/18/23";"";"Hütte";"-210.0"
"1145";"-23.98";"EUR";"Handyvertrag";"DKB VISA Debit";"8/17/23";"";"";"-23.98"
"1146";"-55.08";"EUR";"GEZ";"DKB VISA Debit";"8/15/23";"";"";"-55.08"
"1147";"-4.69";"EUR";"Ausflug";"PayPal";"8/15/23";"";"Peakfinder";"-4.69"
"1148";"50.0";"EUR";"Geschenk";"DKB VISA Debit";"8/14/23";"";"";"50.0"
"1149";"-0.52";"EUR";"Strom";"DKB VISA Debit";"8/14/23";"";"";"-0.52"
"1150";"-90.63";"EUR";"Lebensmittel";"DKB VISA Debit";"8/14/23";"";"";"-90.63"
"1151";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"8/14/23";"Geldbörse";"";"-200.0"
"1152";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"8/14/23";"DKB VISA Debit";"";"200.0"
"1153";"-20.84";"EUR";"Ausflug";"DKB VISA Debit";"8/13/23";"";"";"-20.84"
"1154";"-58.46";"EUR";"Tanken";"DKB VISA Debit";"8/13/23";"";"";"-58.46"
"1155";"-8.85";"EUR";"Lebensmittel";"DKB VISA Debit";"8/12/23";"";"";"-8.85"
"1156";"-2.99";"EUR";"Ausflug";"PayPal";"8/11/23";"";"Google Drive";"-2.99"
"1157";"-20.0";"EUR";"Ausflug";"Geldbörse";"8/11/23";"";"Rückfahrt";"-20.0"
"1158";"-12.28";"EUR";"Lebensmittel";"DKB VISA Debit";"8/11/23";"";"";"-12.28"
"1159";"-20.0";"EUR";"sonstige Ausgaben";"Geldbörse";"8/11/23";"";"In Handyhülle";"-20.0"
"1160";"-15.98";"EUR";"Ausflug";"DKB VISA Debit";"8/10/23";"";"";"-15.98"
"1161";"-129.6";"EUR";"Ausflug";"DKB VISA Debit";"8/9/23";"";"";"-129.6"
"1162";"-21.0";"EUR";"Ausflug";"Geldbörse";"8/8/23";"";"";"-21.0"
"1163";"-7.0";"EUR";"Ausflug";"Geldbörse";"8/8/23";"";"";"-7.0"
"1164";"-2.5";"EUR";"Ausflug";"DKB VISA Debit";"8/8/23";"";"";"-2.5"
"1165";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"8/8/23";"Geldbörse";"";"-200.0"
"1166";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"8/8/23";"DKB VISA Debit";"";"200.0"
"1167";"-9.99";"EUR";"Kleidung";"PayPal";"8/8/23";"";"Badelatschen";"-9.99"
"1168";"-7.29";"EUR";"Ausflug";"PayPal";"8/8/23";"";"";"-7.29"
"1169";"10.0";"EUR";"sonstige Einnahmen";"Geldbörse";"8/7/23";"";"";"10.0"
"1170";"-19.52";"EUR";"Ausflug";"DKB VISA Debit";"8/7/23";"";"";"-19.52"
"1171";"-10.0";"EUR";"Ausflug";"Geldbörse";"8/6/23";"";"";"-10.0"
"1172";"-80.0";"EUR";"Ausflug";"Geldbörse";"8/6/23";"";"";"-80.0"
"1173";"-17.5";"EUR";"Ausflug";"DKB VISA Debit";"8/6/23";"";"";"-17.5"
"1174";"-12.0";"EUR";"Ausflug";"PayPal";"8/6/23";"";"Burger";"-12.0"
"1175";"-8.0";"EUR";"Ausflug";"Geldbörse";"8/6/23";"";"";"-8.0"
"1176";"-11.7";"EUR";"Ausflug";"DKB VISA Debit";"8/5/23";"";"";"-11.7"
"1177";"-15.0";"EUR";"Ausflug";"Geldbörse";"8/5/23";"";"";"-15.0"
"1178";"-3.75";"EUR";"Ausflug";"DKB VISA Debit";"8/5/23";"";"";"-3.75"
"1179";"-301.5";"EUR";"Vanguard all world";"DKB VISA Debit";"8/5/23";"";"";"-301.5"
"1180";"-19.99";"EUR";"sonstige Ausgaben";"DKB VISA Debit";"8/4/23";"";"Vertragwechsel";"-19.99"
"1181";"690.9";"EUR";"sonstige Einnahmen";"DKB VISA Debit";"8/4/23";"";"Temporär Mietzahlung";"690.9"
"1182";"-41.82";"EUR";"Ausflug";"DKB VISA Debit";"8/3/23";"";"Kissen und glide";"-41.82"
"1183";"-56.51";"EUR";"Miete";"DKB VISA Debit";"8/3/23";"";"";"-56.51"
"1184";"-26.57";"EUR";"Lebensmittel";"DKB VISA Debit";"8/2/23";"";"";"-26.57"
"1185";"-30.69";"EUR";"Ausflug";"DKB VISA Debit";"8/1/23";"";"Transfer Barcelona";"-30.69"
"1186";"-44.49";"EUR";"Technik";"DKB VISA Debit";"8/1/23";"";"Sonos Boost";"-44.49"
"1187";"-35.0";"EUR";"Restaurant";"Geldbörse";"7/31/23";"";"Pizzarunde";"-35.0"
"1188";"-36.71";"EUR";"Internet";"DKB VISA Debit";"7/30/23";"";"";"-36.71"
"1189";"-10.0";"EUR";"Ausflug";"DKB VISA Debit";"7/29/23";"";"Kino";"-10.0"
"1190";"-47.8";"EUR";"Baumarkt";"DKB VISA Debit";"7/29/23";"";"Grundierung";"-47.8"
"1191";"-1.5";"EUR";"Ausflug";"Geldbörse";"7/28/23";"";"Parkhaus";"-1.5"
"1192";"3397.45";"EUR";"Lohn";"DKB VISA Debit";"7/28/23";"";"";"3397.45"
"1193";"-57.96";"EUR";"Baumarkt";"DKB VISA Debit";"7/28/23";"";"Druckluftminderer";"-57.96"
"1194";"-120.0";"EUR";"Baumarkt";"Geldbörse";"7/28/23";"";"Sandstrahlen";"-120.0"
"1195";"-81.69";"EUR";"Tanken";"DKB VISA Debit";"7/28/23";"";"";"-81.69"
"1196";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"7/28/23";"Geldbörse";"";"-200.0"
"1197";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"7/28/23";"DKB VISA Debit";"";"200.0"
"1198";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"7/28/23";;;"-4.49"
"1199";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"7/28/23";;"Spotify";"-2.5"
"1200";"-64.0";"EUR";"Strom";"DKB VISA Debit";"7/28/23";"";"";"-64.0"
"1201";"-18.48";"EUR";"Baumarkt";"DKB VISA Debit";"7/26/23";"";"Malerkrepp + Prime";"-18.48"
"1202";"-78.78";"EUR";"Baumarkt";"DKB VISA Debit";"7/25/23";"";"Spraypistole und Grundierung";"-78.78"
"1203";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"7/25/23";"Sparkonto DKB";"";"-500.0"
"1204";"500.0";"EUR";"Transfer between accounts";"Sparkonto DKB";"7/25/23";"DKB VISA Debit";"";"500.0"
"1205";"-70.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"7/23/23";"PayPal";"";"-70.0"
"1206";"70.0";"EUR";"Transfer between accounts";"PayPal";"7/23/23";"DKB VISA Debit";"";"70.0"
"1207";"-48.92";"EUR";"Aktivität";"DKB VISA Debit";"7/23/23";"";"";"-48.92"
"1208";"-30.0";"EUR";"Kleidung";"DKB VISA Debit";"7/21/23";"";"Fahrradtrikot";"-30.0"
"1209";"-30.0";"EUR";"Ausflug";"PayPal";"7/20/23";"";"Flunkyball";"-30.0"
"1210";"-50.0";"EUR";"Essen Arbeit";"Geldbörse";"7/20/23";"";"";"-50.0"
"1211";"-20.0";"EUR";"Sport";"DKB VISA Debit";"7/19/23";"";"Sporthosen und Yoga Kissen Decathlon";"-20.0"
"1211";"-44.97";"EUR";"Kleidung";"DKB VISA Debit";"7/19/23";"";"Sporthosen und Yoga Kissen Decathlon";"-44.97"
"1212";"-5.58";"EUR";"Lebensmittel";"DKB VISA Debit";"7/19/23";"";"";"-5.58"
"1213";"-15.87";"EUR";"Lebensmittel";"DKB VISA Debit";"7/17/23";"";"";"-15.87"
"1214";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"7/17/23";;;"-3.99"
"1215";"-6.94";"EUR";"Einkaufen";"DKB VISA Debit";"7/16/23";"";"Wischmop";"-6.94"
"1216";"-10.8";"EUR";"Lebensmittel";"Geldbörse";"7/15/23";"";"Bâcker";"-10.8"
"1217";"-50.19";"EUR";"Baumarkt";"DKB VISA Debit";"7/14/23";"";"Farbe und Mob";"-50.19"
"1218";"-8.35";"EUR";"Lebensmittel";"DKB VISA Debit";"7/12/23";"";"";"-8.35"
"1219";"-46.99";"EUR";"Kleidung";"DKB VISA Debit";"7/12/23";"";"Barfussschuhe";"-46.99"
"1220";"-154.5";"EUR";"Sport";"DKB VISA Debit";"7/11/23";"";"Tubeless + Reifen";"-154.5"
"1221";"-17.9";"EUR";"Sport";"DKB VISA Debit";"7/11/23";"";"Badehose+ repair kit";"-17.9"
"1221";"-25.99";"EUR";"Kleidung";"DKB VISA Debit";"7/11/23";"";"Badehose+ repair kit";"-25.99"
"1222";"-46.0";"EUR";"Sport";"DKB VISA Debit";"7/9/23";"";"Kette+Zubehör Leinwand und Einlagen + liner socken";"-46.0"
"1222";"-44.87";"EUR";"Kleidung";"DKB VISA Debit";"7/9/23";"";"Kette+Zubehör Leinwand und Einlagen + liner socken";"-44.87"
"1222";"-89.0";"EUR";"Baumarkt";"DKB VISA Debit";"7/9/23";"";"Kette+Zubehör Leinwand und Einlagen + liner socken";"-89.0"
"1223";"-75.73";"EUR";"Tanken";"DKB VISA Debit";"7/8/23";"";"";"-75.73"
"1224";"-11.97";"EUR";"Ausflug";"DKB VISA Debit";"7/7/23";"";"";"-11.97"
"1225";"-47.36";"EUR";"Ausflug";"DKB VISA Debit";"7/7/23";"";"Wanderzeug und Zahnseide";"-47.36"
"1226";"-35.1";"EUR";"sonstige Ausgaben";"Geldbörse";"7/6/23";"";"Zahnarzt";"-35.1"
"1227";"-150.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"7/6/23";"Geldbörse";"";"-150.0"
"1228";"150.0";"EUR";"Transfer between accounts";"Geldbörse";"7/6/23";"DKB VISA Debit";"";"150.0"
"1229";"-8.89";"EUR";"Bar Alkohol";"PayPal";"7/5/23";"";"";"-8.89"
"1230";"-10.0";"EUR";"Geschenke";"Geldbörse";"7/5/23";"";"Axel";"-10.0"
"1231";"-151.5";"EUR";"Vanguard all world";"DKB VISA Debit";"7/5/23";;;"-151.5"
"1232";"-89.89";"EUR";"sonstige Ausgaben";"Geldbörse";"7/4/23";"";"Zahnarzt";"-89.89"
"1233";"-42.9";"EUR";"Lebensmittel";"DKB VISA Debit";"7/3/23";"";"";"-42.9"
"1234";"-241.86";"EUR";"Miete";"DKB VISA Debit";"7/3/23";"";"";"-241.86"
"1235";"19.47";"EUR";"Zinsen";"Sparkonto DKB";"7/2/23";"";"";"19.47"
"1236";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"6/30/23";"Geldbörse";"";"-200.0"
"1237";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"6/30/23";"DKB VISA Debit";"";"200.0"
"1238";"-36.71";"EUR";"Internet";"DKB VISA Debit";"6/30/23";"";"";"-36.71"
"1239";"-482.88";"EUR";"Auto";"DKB VISA Debit";"6/29/23";"";"Lichtmaschine";"-482.88"
"1240";"-31.0";"EUR";"Ausflug";"DKB VISA Debit";"6/28/23";"";"Transfer urlaub";"-31.0"
"1241";"4005.11";"EUR";"Lohn";"DKB VISA Debit";"6/28/23";"";"";"4005.11"
"1242";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"6/28/23";;;"-4.49"
"1243";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"6/28/23";;"Spotify";"-2.5"
"1244";"-30.0";"EUR";"Ausflug";"Geldbörse";"6/27/23";"";"Sommerfest";"-30.0"
"1245";"-50.0";"EUR";"Essen Arbeit";"Geldbörse";"6/27/23";"";"";"-50.0"
"1246";"-45.48";"EUR";"Lebensmittel";"DKB VISA Debit";"6/26/23";"";"";"-45.48"
"1247";"-24.95";"EUR";"Kleidung";"DKB VISA Debit";"6/26/23";"";"Bauchtasche";"-24.95"
"1248";"-9.99";"EUR";"Wohnung";"DKB VISA Debit";"6/26/23";"";"Gelbsticker";"-9.99"
"1249";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"6/25/23";"Sparkonto DKB";"";"-500.0"
"1250";"500.0";"EUR";"Transfer between accounts";"Sparkonto DKB";"6/25/23";"DKB VISA Debit";"";"500.0"
"1251";"-12.95";"EUR";"Sport";"DKB VISA Debit";"6/24/23";"";"Bremsbelege";"-12.95"
"1252";"-78.32";"EUR";"Tanken";"DKB VISA Debit";"6/22/23";"";"";"-78.32"
"1253";"-13.74";"EUR";"Lebensmittel";"PayPal";"6/22/23";"";"";"-13.74"
